ID,GENDER,EMPLOYMENT STATUS,SECTOR,MARITAL STATUS,CREDIT SCORE,SCOREGRADE,CRR,CURRENCY,PRINCIPAL_DISBURSED,EMI,OD_DAYS,PRUDENTIAL_CLASSIFICATION,RISK_GRADE,OD_AMOUNT,LOAN_STATUS
40654,FEMALE,EMPLOYED,FINANCE & INSURANCE,MARRIED,615,II,B10,KES,"642,000.00","59,826.37",204,DOUBTFUL,B9,"453,208.12",CURRENT
40655,MALE,SELF-EMPLOYED,B20 Loans,MARRIED,529,JJ,B20,KES,"78,000.00","6,149.03",295,DOUBTFUL,B9,"68,917.29",EXPIRED
40664,MALE,EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,665,FF,A5,KES,"80,000.00","7,439.02",0,NORMAL,A1-A6,4.84,CURRENT
40687,MALE,EMPLOYED,B20 Loans,0,618,HH,B20,KES,"172,000.00","16,062.90",323,DOUBTFUL,B9,"195,045.53",EXPIRED
40688,MALE,EMPLOYED,FINANCE & INSURANCE,SINGLE,696,DD,A5,KES,"300,502.44","28,098.61",0,NORMAL,A1-A6,247.18,CURRENT
40692,FEMALE,0,B20 Loans,MARRIED,554,JJ,B20,KES,"81,000.00","7,564.52",323,DOUBTFUL,B9,"87,105.05",EXPIRED
40701,FEMALE,EMPLOYED,FINANCE & INSURANCE,SINGLE,632,HH,B9,KES,"82,000.72","6,802.81",111,SUBSTANDARD,B8,"26,582.90",CURRENT
40702,FEMALE,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,622,HH,A5,KES,"339,584.95","15,279.32",19,NORMAL,A1-A6,"15,519.98",CURRENT
40704,FEMALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,SINGLE,603,II,B9,KES,"431,376.91","38,555.17",0,NORMAL,A1-A6,0,CURRENT
40705,FEMALE,EMPLOYED,REAL ESTATE,0,#N/A,#N/A,A5,KES,"127,064.55","11,845.87",19,NORMAL,A1-A6,"12,033.86",CURRENT
40708,FEMALE,SELF-EMPLOYED,HUNTING LIVESTOCK AND FISHING,MARRIED,631,HH,A5,KES,"586,275.36","54,662.22",50,WATCH,B7,"77,426.53",CURRENT
40713,MALE,SELF-EMPLOYED,BUSINESS SERVICES,SINGLE,524,JJ,B11,KES,"63,000.00","5,210.01",232,DOUBTFUL,B9,"46,078.36",CURRENT
40716,FEMALE,SELF-EMPLOYED,B20 Loans,MARRIED,605,II,B20,KES,"82,000.00","7,657.90",232,DOUBTFUL,B9,"61,837.16",EXPIRED
40721,0,0,INDIVIDUALS,0,622,HH,B11,KES,"579,265.54","53,983.65",264,DOUBTFUL,B9,"542,431.87",CURRENT
40722,0,EMPLOYED,INDIVIDUALS,SINGLE,610,II,A5,KES,"116,000.00","10,809.55",0,NORMAL,A1-A6,0,CURRENT
40725,0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,628,HH,A5,KES,"60,016.98","3,446.39",0,NORMAL,A1-A6,0,CURRENT
40726,MALE,EMPLOYED,REAL ESTATE,0,625,HH,B11,KES,"72,071.16","6,646.55",232,DOUBTFUL,B9,"58,830.87",CURRENT
40727,FEMALE,SELF-EMPLOYED,BUSINESS SERVICES,SINGLE,713,CC,B9,KES,"361,492.49","33,828.70",81,WATCH,B7,"83,608.44",CURRENT
40728,FEMALE,0,INDIVIDUALS,0,741,BB,A3,KES,"53,040.51","4,943.28",0,NORMAL,A1-A6,0,CURRENT
40729,FEMALE,EMPLOYED,BUSINESS SERVICES,SINGLE,645,GG,B9,KES,"76,193.44","7,108.17",50,WATCH,B7,"12,832.25",CURRENT
40730,FEMALE,SELF-EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,628,HH,B10,KES,"751,000.00","69,982.92",172,SUBSTANDARD,B8,"442,039.73",CURRENT
40731,MALE,EMPLOYED,TRANSPORT & COMMUNICATION,0,630,HH,A5,KES,"150,000.00","13,977.96",0,NORMAL,A1-A6,0,CURRENT
40732,#N/A,0,"SOCIAL, COMMUNITY & PERSONAL SERVIC",0,744,BB,A5,KES,"1,000,000.00","93,186.31",0,NORMAL,A1-A6,0,CURRENT
40734,MALE,SELF-EMPLOYED,BUSINESS SERVICES,0,617,HH,B11,KES,"601,997.29","24,554.67",172,SUBSTANDARD,B8,"205,152.32",CURRENT
40735,FEMALE,0,B20 Loans,0,#N/A,#N/A,B20,KES,"663,000.00","61,916.88",323,DOUBTFUL,B9,"729,424.75",EXPIRED
40738,FEMALE,0,INDIVIDUALS,0,655,GG,B11,KES,"95,000.00","8,852.71",232,DOUBTFUL,B9,"78,295.26",CURRENT
40740,FEMALE,EMPLOYED,FINANCE & INSURANCE,SINGLE,555,JJ,A5,KES,"80,000.00","7,454.88",0,NORMAL,A1-A6,103.8,CURRENT
40744,MALE,EMPLOYED,AGRICULTURE,MARRIED,646,GG,A5,KES,"917,143.22","698,551.62",0,NORMAL,A1-A6,0,CURRENT
40745,FEMALE,SELF-EMPLOYED,BUSINESS SERVICES,SINGLE,565,JJ,B10,KES,"59,000.00","5,498.02",172,SUBSTANDARD,B8,"35,630.99",CURRENT
40746,FEMALE,EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,645,GG,B9,KES,"63,075.17","5,884.84",81,WATCH,B7,"18,389.85",CURRENT
40747,MALE,EMPLOYED,BUSINESS SERVICES,0,665,FF,A5,KES,"353,259.15","32,791.28",0,NORMAL,A1-A6,0,CURRENT
40748,FEMALE,EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,649,GG,A5,KES,"82,343.75","8,261.59",0,NORMAL,A1-A6,0,CURRENT
40749,MALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,583,JJ,B10,KES,"52,000.00","4,845.70",141,SUBSTANDARD,B8,"25,141.88",CURRENT
40750,0,EMPLOYED,GOVERNMENT,MARRIED,609,II,A5,KES,"59,224.59","5,555.63",0,NORMAL,A1-A6,64,CURRENT
40751,MALE,SELF-EMPLOYED,B20 Loans,0,562,JJ,B20,KES,"282,702.65","8,906.89",172,SUBSTANDARD,B8,"203,668.28",EXPIRED
40752,MALE,EMPLOYED,B20 Loans,0,645,GG,B20,KES,"123,000.00","11,486.85",323,DOUBTFUL,B9,"139,435.17",EXPIRED
40754,FEMALE,0,TRANSPORT & COMMUNICATION,SINGLE,647,GG,A5,KES,"334,000.00","31,124.22",0,NORMAL,A1-A6,0,CURRENT
40756,FEMALE,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",SINGLE,646,GG,A5,KES,"54,119.63","5,051.18",0,NORMAL,A1-A6,45.56,CURRENT
40758,MALE,EMPLOYED,B20 Loans,SINGLE,539,JJ,B20,KES,"72,000.00","6,724.01",323,DOUBTFUL,B9,"81,646.98",EXPIRED
40759,MALE,0,BUSINESS SERVICES,0,547,JJ,B20,KES,"117,000.00","10,926.52",0,NORMAL,A1-A6,0,EXPIRED
40760,FEMALE,0,"SOCIAL, COMMUNITY & PERSONAL SERVIC",0,683,EE,A5,KES,"187,276.52","13,482.67",0,NORMAL,A1-A6,0,CURRENT
40761,FEMALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,777,AA,A5,KES,"800,000.00","74,549.04",0,NORMAL,A1-A6,0,CURRENT
40762,MALE,EMPLOYED,NON PROFIT INSTITUTIONS,0,775,AA,A5,KES,"120,000.00","11,282.18",0,NORMAL,A1-A6,0,CURRENT
40763,MALE,EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,651,GG,B10,KES,"73,000.00","6,802.61",172,SUBSTANDARD,B8,"43,818.68",CURRENT
40764,FEMALE,SELF-EMPLOYED,BUSINESS SERVICES,MARRIED,#N/A,#N/A,B10,KES,"525,000.00","48,922.81",172,SUBSTANDARD,B8,"304,803.89",CURRENT
40765,FEMALE,EMPLOYED,NON PROFIT INSTITUTIONS,MARRIED,588,II,A5,KES,"80,008.67","6,575.63",0,NORMAL,A1-A6,0,CURRENT
40766,MALE,EMPLOYED,MANUFACTURING & PROCESSING,0,588,II,A5,KES,"152,421.34","14,261.04",0,NORMAL,A1-A6,0,CURRENT
40767,MALE,EMPLOYED,WHOLESALE AND RETAIL TRADE,0,597,II,B11,KES,"145,000.00","13,641.25",217,DOUBTFUL,B9,"119,085.05",CURRENT
40769,MALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,627,HH,B9,KES,"74,000.00","6,895.79",50,WATCH,B7,"13,390.88",CURRENT
40770,FEMALE,SELF-EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,588,II,B11,KES,"580,000.00","53,823.90",232,DOUBTFUL,B9,"452,759.38",CURRENT
40772,FEMALE,SELF-EMPLOYED,B20 Loans,MARRIED,650,GG,B20,KES,"125,000.00","11,673.63",295,DOUBTFUL,B9,"128,350.90",EXPIRED
40773,0,EMPLOYED,B20 Loans,MARRIED,631,HH,B20,KES,"676,920.07","21,245.15",172,SUBSTANDARD,B8,"480,758.40",EXPIRED
40775,FEMALE,SELF-EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,630,HH,B9,KES,"76,000.00","7,082.17",19,NORMAL,A1-A6,"6,956.24",CURRENT
40778,MALE,EMPLOYED,BUSINESS SERVICES,MARRIED,713,CC,A5,KES,"71,216.46","6,667.76",0,NORMAL,A1-A6,0,CURRENT
40779,#N/A,0,B20 Loans,0,574,JJ,B20,KES,"56,000.00","5,229.79",264,DOUBTFUL,B9,"47,275.21",EXPIRED
40780,MALE,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,611,II,B10,KES,"766,000.00","63,265.32",141,SUBSTANDARD,B8,"290,734.70",CURRENT
40781,MALE,EMPLOYED,FINANCE & INSURANCE,0,570,JJ,A5,KES,"60,785.88","2,644.92",0,NORMAL,A1-A6,18.71,CURRENT
40783,FEMALE,EMPLOYED,FINANCE & INSURANCE,0,654,GG,A5,KES,"169,000.00","15,748.50",19,NORMAL,A1-A6,"7,119.52",CURRENT
40784,0,0,INDIVIDUALS,0,670,FF,B9,KES,"843,000.00","78,385.76",81,WATCH,B7,"251,681.21",CURRENT
40785,MALE,EMPLOYED,BUSINESS SERVICES,MARRIED,743,BB,A5,KES,"60,041.66","4,770.65",18,NORMAL,A1-A6,73.21,CURRENT
40788,MALE,SELF-EMPLOYED,TRANSPORT & COMMUNICATION,0,580,JJ,A5,KES,"782,525.05","72,963.56",0,NORMAL,A1-A6,0,CURRENT
