ID,GENDER,AGE,NO_DEFAULT_LOAN,EMPLOYMENT_STATUS,SECTOR,MARITAL_STATUS,CREDIT_SCORE,SCOREGRADE,CRR,CURRENCY,NET INCOME,PRINCIPAL_AMOUNT,EMI,OD_DAYS,PRUDENTIAL_CLASSIFICATION,RISK_GRADE,AREARS,LOAN_STATUS
209801.0,FEMALE,37,7.0,EMPLOYED,FINANCE & INSURANCE,MARRIED,615.0,II,B10,KES,5000.0,642000.0,"59,826.37",204.0,DOUBTFUL,B9,"453,208.12",CURRENT
315048.0,MALE,41,3.0,SELF-EMPLOYED,,MARRIED,529.0,JJ,B20,KES,0.0,78000.0,"6,149.03",295.0,DOUBTFUL,B9,"68,917.29",EXPIRED
145878.0,MALE,36,6.0,EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,665.0,FF,A5,KES,1294783.78,80000.0,"7,439.02",0.0,NORMAL,A1-A6,4.84,CURRENT
295535.0,MALE,41,5.0,EMPLOYED,,0,618.0,HH,B20,KES,347554.0,172000.0,"16,062.90",323.0,DOUBTFUL,B9,"195,045.53",EXPIRED
493960.0,MALE,41,1.0,EMPLOYED,FINANCE & INSURANCE,SINGLE,696.0,DD,A5,KES,4210957.0,300502.44,"28,098.61",0.0,NORMAL,A1-A6,247.18,CURRENT
129419.0,FEMALE,33,2.0,0,,MARRIED,554.0,JJ,B20,KES,0.0,81000.0,"7,564.52",323.0,DOUBTFUL,B9,"87,105.05",EXPIRED
280570.0,FEMALE,38,0.0,EMPLOYED,FINANCE & INSURANCE,SINGLE,632.0,HH,B9,KES,44280.0,82000.72,"6,802.81",111.0,SUBSTANDARD,B8,"26,582.90",CURRENT
45325.0,FEMALE,32,0.0,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,622.0,HH,A5,KES,1000139.59,339584.95,"15,279.32",19.0,NORMAL,A1-A6,"15,519.98",CURRENT
402261.0,FEMALE,24,0.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,SINGLE,603.0,II,B9,KES,2286480.48,431376.91,"38,555.17",0.0,NORMAL,A1-A6,0,CURRENT
459365.0,FEMALE,51,,EMPLOYED,REAL ESTATE,0,,,A5,KES,443541.0,127064.55,"11,845.87",19.0,NORMAL,A1-A6,"12,033.86",CURRENT
93856.0,FEMALE,52,4.0,SELF-EMPLOYED,HUNTING LIVESTOCK AND FISHING,MARRIED,631.0,HH,A5,KES,0.0,586275.36,"54,662.22",50.0,WATCH,B7,"77,426.53",CURRENT
203557.0,MALE,30,5.0,SELF-EMPLOYED,BUSINESS SERVICES,SINGLE,524.0,JJ,B11,KES,0.0,63000.0,"5,210.01",232.0,DOUBTFUL,B9,"46,078.36",CURRENT
344824.0,FEMALE,33,1.0,SELF-EMPLOYED,,MARRIED,605.0,II,B20,KES,0.0,82000.0,"7,657.90",232.0,DOUBTFUL,B9,"61,837.16",EXPIRED
50953.0,0,54,9.0,0,INDIVIDUALS,0,622.0,HH,B11,KES,5564007.5,579265.54,"53,983.65",264.0,DOUBTFUL,B9,"542,431.87",CURRENT
68696.0,0,30,1.0,EMPLOYED,INDIVIDUALS,SINGLE,610.0,II,A5,KES,530254.46,116000.0,"10,809.55",0.0,NORMAL,A1-A6,0,CURRENT
394237.0,0,48,3.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,628.0,HH,A5,KES,1315425.2,60016.98,"3,446.39",0.0,NORMAL,A1-A6,0,CURRENT
168388.0,MALE,36,5.0,EMPLOYED,REAL ESTATE,0,625.0,HH,B11,KES,40500.0,72071.16,"6,646.55",232.0,DOUBTFUL,B9,"58,830.87",CURRENT
336319.0,FEMALE,34,0.0,SELF-EMPLOYED,BUSINESS SERVICES,SINGLE,713.0,CC,B9,KES,446520.0,361492.49,"33,828.70",81.0,WATCH,B7,"83,608.44",CURRENT
125920.0,FEMALE,39,0.0,0,INDIVIDUALS,0,741.0,BB,A3,KES,482625.01,53040.51,"4,943.28",0.0,NORMAL,A1-A6,0,CURRENT
489142.0,FEMALE,31,2.0,EMPLOYED,BUSINESS SERVICES,SINGLE,645.0,GG,B9,KES,1206344.33,76193.44,"7,108.17",50.0,WATCH,B7,"12,832.25",CURRENT
275507.0,FEMALE,38,2.0,SELF-EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,628.0,HH,B10,KES,2674555.1,751000.0,"69,982.92",172.0,SUBSTANDARD,B8,"442,039.73",CURRENT
316918.0,MALE,37,1.0,EMPLOYED,TRANSPORT & COMMUNICATION,0,630.0,HH,A5,KES,2450642.42,150000.0,"13,977.96",0.0,NORMAL,A1-A6,0,CURRENT
316211.0,,56,0.0,0,"SOCIAL, COMMUNITY & PERSONAL SERVIC",0,744.0,BB,A5,KES,,1000000.0,"93,186.31",0.0,NORMAL,A1-A6,0,CURRENT
395089.0,MALE,38,5.0,SELF-EMPLOYED,BUSINESS SERVICES,0,617.0,HH,B11,KES,4183505.0,601997.29,"24,554.67",172.0,SUBSTANDARD,B8,"205,152.32",CURRENT
133352.0,FEMALE,#VALUE!,,0,,0,,,B20,KES,0.0,663000.0,"61,916.88",323.0,DOUBTFUL,B9,"729,424.75",EXPIRED
360481.0,FEMALE,43,4.0,0,INDIVIDUALS,0,655.0,GG,B11,KES,641882.21,95000.0,"8,852.71",232.0,DOUBTFUL,B9,"78,295.26",CURRENT
281258.0,FEMALE,39,8.0,EMPLOYED,FINANCE & INSURANCE,SINGLE,555.0,JJ,A5,KES,1013696.05,80000.0,"7,454.88",0.0,NORMAL,A1-A6,103.8,CURRENT
13813.0,MALE,51,0.0,EMPLOYED,AGRICULTURE,MARRIED,646.0,GG,A5,KES,6326970.6,917143.22,"698,551.62",0.0,NORMAL,A1-A6,0,CURRENT
29144.0,FEMALE,25,1.0,SELF-EMPLOYED,BUSINESS SERVICES,SINGLE,565.0,JJ,B10,KES,0.0,59000.0,"5,498.02",172.0,SUBSTANDARD,B8,"35,630.99",CURRENT
23377.0,FEMALE,37,2.0,EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,645.0,GG,B9,KES,49500.0,63075.17,"5,884.84",81.0,WATCH,B7,"18,389.85",CURRENT
175749.0,MALE,37,1.0,EMPLOYED,BUSINESS SERVICES,0,665.0,FF,A5,KES,3168794.0,353259.15,"32,791.28",0.0,NORMAL,A1-A6,0,CURRENT
441295.0,FEMALE,44,2.0,EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,649.0,GG,A5,KES,522741.23,82343.75,"8,261.59",0.0,NORMAL,A1-A6,0,CURRENT
386523.0,MALE,31,1.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,583.0,JJ,B10,KES,421256.0,52000.0,"4,845.70",141.0,SUBSTANDARD,B8,"25,141.88",CURRENT
11378.0,0,48,2.0,EMPLOYED,GOVERNMENT,MARRIED,609.0,II,A5,KES,1315525.0,59224.59,"5,555.63",0.0,NORMAL,A1-A6,64,CURRENT
431979.0,MALE,39,2.0,SELF-EMPLOYED,,0,562.0,JJ,B20,KES,394830.0,282702.65,"8,906.89",172.0,SUBSTANDARD,B8,"203,668.28",EXPIRED
309307.0,MALE,39,5.0,EMPLOYED,,0,645.0,GG,B20,KES,1600.0,123000.0,"11,486.85",323.0,DOUBTFUL,B9,"139,435.17",EXPIRED
449511.0,FEMALE,35,0.0,0,TRANSPORT & COMMUNICATION,SINGLE,647.0,GG,A5,KES,940136.61,334000.0,"31,124.22",0.0,NORMAL,A1-A6,0,CURRENT
44130.0,FEMALE,31,1.0,EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",SINGLE,646.0,GG,A5,KES,580830.38,54119.63,"5,051.18",0.0,NORMAL,A1-A6,45.56,CURRENT
145108.0,MALE,37,3.0,EMPLOYED,,SINGLE,539.0,JJ,B20,KES,0.0,72000.0,"6,724.01",323.0,DOUBTFUL,B9,"81,646.98",EXPIRED
251496.0,MALE,41,0.0,0,BUSINESS SERVICES,0,547.0,JJ,B20,KES,297275.0,117000.0,"10,926.52",0.0,NORMAL,A1-A6,0,EXPIRED
92877.0,FEMALE,51,2.0,0,"SOCIAL, COMMUNITY & PERSONAL SERVIC",0,683.0,EE,A5,KES,1462635.0,187276.52,"13,482.67",0.0,NORMAL,A1-A6,0,CURRENT
229779.0,FEMALE,41,0.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,777.0,AA,A5,KES,9042933.0,800000.0,"74,549.04",0.0,NORMAL,A1-A6,0,CURRENT
330520.0,MALE,63,0.0,EMPLOYED,NON PROFIT INSTITUTIONS,0,775.0,AA,A5,KES,1305163.8,120000.0,"11,282.18",0.0,NORMAL,A1-A6,0,CURRENT
392868.0,MALE,40,2.0,EMPLOYED,TRANSPORT & COMMUNICATION,MARRIED,651.0,GG,B10,KES,3381000.0,73000.0,"6,802.61",172.0,SUBSTANDARD,B8,"43,818.68",CURRENT
37367.0,FEMALE,54,,SELF-EMPLOYED,BUSINESS SERVICES,MARRIED,,,B10,KES,626025.0,525000.0,"48,922.81",172.0,SUBSTANDARD,B8,"304,803.89",CURRENT
402041.0,FEMALE,29,1.0,EMPLOYED,NON PROFIT INSTITUTIONS,MARRIED,588.0,II,A5,KES,1409475.72,80008.67,"6,575.63",0.0,NORMAL,A1-A6,0,CURRENT
378246.0,MALE,34,5.0,EMPLOYED,MANUFACTURING & PROCESSING,0,588.0,II,A5,KES,2003530.23,152421.34,"14,261.04",0.0,NORMAL,A1-A6,0,CURRENT
18984.0,MALE,54,10.0,EMPLOYED,WHOLESALE AND RETAIL TRADE,0,597.0,II,B11,KES,0.0,145000.0,"13,641.25",217.0,DOUBTFUL,B9,"119,085.05",CURRENT
16082.0,MALE,35,1.0,SELF-EMPLOYED,WHOLESALE AND RETAIL TRADE,MARRIED,627.0,HH,B9,KES,30562.3,74000.0,"6,895.79",50.0,WATCH,B7,"13,390.88",CURRENT
107774.0,FEMALE,36,2.0,SELF-EMPLOYED,"SOCIAL, COMMUNITY & PERSONAL SERVIC",MARRIED,588.0,II,B11,KES,2307893.0,580000.0,"53,823.90",232.0,DOUBTFUL,B9,"452,759.38",CURRENT
71624.0,FEMALE,38,3.0,SELF-EMPLOYED,,MARRIED,650.0,GG,B20,KES,1044915.0,125000.0,"11,673.63",295.0,DOUBTFUL,B9,"128,350.90",EXPIRED
191620.0,0,42,4.0,EMPLOYED,,MARRIED,631.0,HH,B20,KES,2204526.0,676920.07,"21,245.15",172.0,SUBSTANDARD,B8,"480,758.40",EXPIRED
247436.0,FEMALE,51,0.0,SELF-EMPLOYED,MANUFACTURING & PROCESSING,MARRIED,630.0,HH,B9,KES,115448.5,76000.0,"7,082.17",19.0,NORMAL,A1-A6,"6,956.24",CURRENT
280306.0,MALE,46,0.0,EMPLOYED,BUSINESS SERVICES,MARRIED,713.0,CC,A5,KES,874977.25,71216.46,"6,667.76",0.0,NORMAL,A1-A6,0,CURRENT
18944.0,,48,4.0,0,,0,574.0,JJ,B20,KES,,56000.0,"5,229.79",264.0,DOUBTFUL,B9,"47,275.21",EXPIRED
